,Name,income,income_per_capita,employment_labor_force,employment_civilian_labor_force,employment_employed,employment_unemployed,employment_male_business_and_financial_operations_occupations,employment_male_computer_engineering_and_science_occupations,employment_male_computer_and_mathematical_occupations,employment_female_business_and_financial_operations_occupations,employment_female_computer_engineering_and_science_occupations,employment_female_computer_and_mathematical_occupations,poverty,age,population,median_gross_rent,median_home_value,education_none,education_high_school,education_ged,education_associates,education_bachelors,education_masters,education_professional,education_doctorate,state,Year
21,Massachusetts,66658.0,35485.0,3614094.0,3608505.0,3302990.0,305515.0,90624.0,176128.0,85000.0,103006.0,71270.0,31362.0,698286.0,39.1,6560595.0,1056.0,335500.0,59463.0,1027710.0,128940.0,344724.0,989299.0,523662.0,125268.0,102237.0,25,2012
22,Michigan,48471.0,25547.0,4889594.0,4884714.0,4269865.0,614849.0,79456.0,180312.0,64613.0,101543.0,53460.0,24708.0,1582022.0,38.8,9897264.0,755.0,128600.0,67506.0,1760439.0,260871.0,551652.0,1033830.0,473285.0,108256.0,63809.0,26,2012
23,Minnesota,59126.0,30656.0,2955309.0,2952483.0,2745021.0,207462.0,66680.0,121537.0,61229.0,85001.0,42633.0,23311.0,582335.0,37.4,5313081.0,802.0,194300.0,33095.0,846835.0,109011.0,353432.0,768061.0,254134.0,73383.0,40961.0,27,2012
24,Mississippi,38882.0,20670.0,1361499.0,1347995.0,1204869.0,143126.0,15082.0,26335.0,7901.0,22082.0,8171.0,3972.0,640132.0,36.0,2967620.0,688.0,100200.0,26016.0,467128.0,112142.0,153049.0,243099.0,96606.0,24767.0,16009.0,28,2012
25,Missouri,47333.0,25546.0,3062560.0,3041365.0,2781791.0,259574.0,51729.0,91649.0,46008.0,71516.0,33780.0,19009.0,869036.0,37.9,5982413.0,712.0,138400.0,29704.0,1077444.0,183065.0,272744.0,642058.0,274737.0,66671.0,40610.0,29,2012
26,Montana,45456.0,25002.0,517348.0,513795.0,478254.0,35541.0,7090.0,14407.0,4947.0,10223.0,5973.0,2136.0,143119.0,39.9,990785.0,667.0,183000.0,2338.0,170600.0,32358.0,54260.0,132234.0,39215.0,12095.0,7672.0,30,2012
27,Nebraska,51381.0,26523.0,1008534.0,1002898.0,946986.0,55912.0,17697.0,30563.0,15782.0,23100.0,10352.0,5428.0,220244.0,36.3,1827306.0,687.0,126700.0,9779.0,298999.0,40608.0,110892.0,225471.0,74332.0,20206.0,13018.0,31,2012
28,Nevada,54083.0,27003.0,1414374.0,1404075.0,1237659.0,166416.0,20859.0,29853.0,13087.0,25894.0,9301.0,4103.0,379197.0,36.3,2704204.0,1001.0,190900.0,23057.0,448083.0,66376.0,130846.0,264760.0,91395.0,28049.0,13705.0,32,2012
29,New Hampshire,64925.0,32758.0,745330.0,743662.0,694736.0,48926.0,15203.0,36242.0,16575.0,17977.0,10759.0,5805.0,107800.0,41.1,1317474.0,972.0,245600.0,5325.0,229674.0,35997.0,87017.0,191995.0,83170.0,16021.0,12184.0,33,2012
30,New Jersey,71637.0,35928.0,4672338.0,4663005.0,4219677.0,443328.0,122124.0,194951.0,113261.0,122809.0,69490.0,38030.0,850559.0,38.9,8793888.0,1154.0,337900.0,69238.0,1589656.0,151616.0,369470.0,1314380.0,570273.0,143891.0,83554.0,34,2012
31,New Mexico,44886.0,23749.0,979619.0,970728.0,882461.0,88267.0,12717.0,37641.0,12326.0,19692.0,12153.0,4853.0,393139.0,36.6,2055287.0,736.0,161500.0,17587.0,293251.0,58467.0,99775.0,195148.0,101223.0,22052.0,23455.0,35,2012
32,New York,57683.0,32104.0,9969586.0,9943091.0,9073362.0,869729.0,222050.0,287996.0,145743.0,235767.0,111716.0,52408.0,2814409.0,38.0,19398125.0,1061.0,295300.0,216178.0,3090451.0,487992.0,1090117.0,2442722.0,1320436.0,357042.0,175706.0,36,2012
33,North Carolina,46450.0,25285.0,4832418.0,4743685.0,4246096.0,497589.0,77510.0,147650.0,71214.0,105129.0,55600.0,27903.0,1563464.0,37.4,9544249.0,759.0,153600.0,77063.0,1447653.0,275345.0,543531.0,1126665.0,402677.0,95003.0,72300.0,37,2012
34,North Dakota,51641.0,28700.0,383089.0,377491.0,364782.0,12709.0,5780.0,11038.0,4155.0,8430.0,3458.0,1519.0,78930.0,36.9,676253.0,610.0,123900.0,2396.0,104581.0,16000.0,54634.0,86925.0,22792.0,5850.0,4233.0,38,2012
35,Ohio,48246.0,25857.0,5880517.0,5869359.0,5300141.0,569218.0,106801.0,188205.0,85182.0,129021.0,59389.0,30280.0,1723485.0,38.8,11533561.0,710.0,133700.0,63192.0,2403387.0,291496.0,593037.0,1207216.0,504926.0,122033.0,74264.0,39,2012
36,Oklahoma,44891.0,24046.0,1834109.0,1812594.0,1689965.0,122629.0,28017.0,51942.0,21656.0,40226.0,14655.0,7674.0,602598.0,36.3,3749005.0,679.0,110800.0,19942.0,651152.0,122295.0,168453.0,379676.0,132273.0,33773.0,20778.0,40,2012
37,Oregon,50036.0,26702.0,1957085.0,1953903.0,1743524.0,210379.0,33653.0,75729.0,33138.0,44976.0,23962.0,10840.0,584059.0,38.4,3836628.0,854.0,246100.0,23939.0,532673.0,114512.0,212854.0,483035.0,193598.0,52297.0,34981.0,41,2012
38,Pennsylvania,52267.0,28190.0,6487488.0,6478705.0,5930125.0,548580.0,129655.0,220884.0,98855.0,142539.0,77222.0,37550.0,1604464.0,40.1,12699589.0,794.0,164900.0,81124.0,2885353.0,337023.0,649107.0,1439079.0,632138.0,161689.0,108971.0,42,2012
39,Rhode Island,56102.0,30005.0,568800.0,565227.0,511323.0,53904.0,9640.0,18832.0,8504.0,13781.0,6882.0,3290.0,133462.0,39.4,1052471.0,908.0,259400.0,12216.0,162867.0,32140.0,57837.0,131880.0,61253.0,15345.0,9847.0,44,2012
40,South Carolina,44623.0,23906.0,2280559.0,2244057.0,1995222.0,248835.0,32236.0,62917.0,23795.0,43579.0,19323.0,9357.0,787788.0,37.9,4630351.0,749.0,137400.0,37091.0,799274.0,132777.0,263552.0,486253.0,196332.0,43745.0,28957.0,45,2012
